# NetHack-es bulk C translations: msgid<TAB>msgstr
# Format: one entry per line, tab-separated
# Lines starting with # are comments
%s smiles %s at your %sdisplaced image...	%s sonrie %s a tu %simagen desplazada...
%s%s!	¡%s%s!
%s.	%s.
%s doesn't seem to notice that %s gaze was reflected.	%s no parece notar que su mirada fue reflejada.
bad flag in which_armor	marca erronea en which_armor
extract_from_minvent called on object not in minvent	extract_from_minvent llamado en objeto que no esta en minvent
obj #%d (%s) name is %s despite%s alternate description	obj #%d (%s) nombre es %s a pesar de%s descripcion alternativa
%s (%d) probability total for oclass %d	%s (%d) total de probabilidad para oclass %d
objdescr_is: null obj	objdescr_is: obj nulo
named object not in disco	objeto nombrado no en disco
doclassdisco: invalid object class '%s'	doclassdisco: clase de objeto invalida '%s'
None of your discoveries can be assigned names...	Ninguno de tus descubrimientos puede recibir nombre...
get_location:  can't find a place!	get_location:  ¡no se encuentra un lugar!
create_door: Can't find a proper place!	create_door: ¡No se encuentra un lugar apropiado!
create_monster: mon has an appearance, "%s", but no type	create_monster: mon tiene apariencia, "%s", pero no tipo
create_monster: can't find feature "%s"	create_monster: no se encuentra caracteristica "%s"
create_monster: can't find object "%s"	create_monster: no se encuentra objeto "%s"
create_monster: invalid %s ("%s")	create_monster: %s invalido ("%s")
create_monster: unimplemented mon appear type [%d,"%s"]	create_monster: tipo de aparicion de mon no implementado [%d,"%s"]
create_object: too deeply nested containers.	create_object: contenedores anidados demasiado profundo.
create_object: unknown achievement (%s"%s")	create_object: logro desconocido (%s"%s")
create_corridor to/from a random wall	create_corridor hacia/desde un muro aleatorio
Unrecognized level init style.	Estilo de inicializacion de nivel no reconocido.
get_mkroom_name unknown rtype %d	get_mkroom_name rtype desconocido %d
Unknown room type '%s'	Tipo de sala desconocido '%s'
sel_set_feature(%i,%i,%i) !isok	sel_set_feature(%i,%i,%i) !isok
feature has unknown type param.	caracteristica tiene parametro de tipo desconocido.
Too many rooms on new level!	¡Demasiadas salas en el nuevo nivel!
region as subroom	region como subsala
mazewalk: Bad direction	mazewalk: Direccion erronea
Strange, could not figure out config file name.	Extrano, no se pudo averiguar el nombre del archivo de configuracion.
An error occurred, wrote only partial data (%zu/%zu).	Ocurrio un error, solo se escribieron datos parciales (%zu/%zu).
%s%s%s	%s%s%s
\n%s	\n%s
%s %s%s%s	%s %s%s%s
\n%d error%s %s %s.\n	\n%d error%s %s %s.\n
2nd status_initialize with full init.	2º status_initialize con init completo.
init_blstats called more than once.	init_blstats llamado mas de una vez.
percentage: bad istat pointer %s, %s	porcentaje: puntero istat erroneo %s, %s
hl->behavior=percentage, rel error	hl->behavior=porcentaje, error rel
hl->behavior=updown, rel error	hl->behavior=arribaabajo, error rel
hl->behavior=absolute, rel error	hl->behavior=absoluto, error rel
hl->behavior=textmatch, rel or textmatch error	hl->behavior=coincidenciatexto, error rel o de texto
hl->behavior=condition, rel error	hl->behavior=condicion, error rel
"%s" is not a recognized number.	"%s" no es un numero reconocido.
Is that an invisible number?	¿Es eso un numero invisible?
Field '%s' does not support percentage values.	El campo '%s' no admite valores de porcentaje.
'%s%d%%' is not a valid percent value.	'%s%d%%' no es un valor de porcentaje valido.
%s'%s%d'%s	%s'%s%d'%s
%s'%s%ld'%s	%s'%s%ld'%s
Added hilite condition/%s/%s	Anadida condicion de resaltado/%s/%s
Added hilite %s	Anadido resaltado %s
take a picture of %s %s.	saca una foto de %s %s.
take a picture of the %s.	saca una foto del %s.
push your %s %s.	empuja tu %s %s.
push your %s off.	empuja fuera tu %s.
wipe off your %s.	limpia tu %s.
determine that %s unfortunate being%s %s%s dead.	determinas que el infeliz ser %s %s%s muerto.
%s is in %s health for a statue.	%s esta de %s salud para una estatua.
%s interferes.	%s interfiere.
faint splashing.	suave chapoteo.
your heart beat.	el latido de tu corazon.
%s %s %s really %s.	%s %s %s realmente %s.
hear nothing special.	no oyes nada especial.
blow bubbles through %s.	sopla burbujas a traves de %s.
produce a %shigh-%s.	produce un alto-%s %s.
fail to %sleash something.	no logras %s atar algo.
%s %s leashed!	¡%s %s atado!
This %s is already leashed.	Este %s ya esta atado.
%s has no extremities the leash would fit.	%s no tiene extremidades donde encaje la correa.
slip the leash around %s%s.	desliza la correa alrededor de %s%s.
This leash is not attached to that creature.	Esta correa no esta sujeta a esa criatura.
remove the leash from %s%s.	quita la correa de %s%s.
leashed-unleashed mon?	¿mon atado-desatado?
leash in use isn't attached to anything?	¿correa en uso no sujeta a nada?
%s leash snaps loose!	¡la correa de %s se suelta!
pull on the leash.	tira de la correa.
stiffen momentarily under your gaze.	se queda rigido un momento bajo tu mirada.
Huh?  That doesn't look like you!	¿Eh?  ¡Eso no te pareces!
look like %s.	pareces %s.
look as %s as ever.	pareces tan %s como siempre.
reflect %s %s.	refleja %s %s.
reflect the %s.	refleja el %s.
%s can't see anything right now.	%s no puede ver nada en este momento.
%s fails to notice your %s.	%s no nota tu %s.
%s in the dark.	%s en la oscuridad.
%s doesn't have a reflection.	%s no tiene reflejo.
%s stop moving.	%s deja de moverse.
%s confuses itself!	¡%s se confunde a si mismo!
%s in your %s.	%s en tu %s.
%s takes it!	¡%s lo toma!
discern no obvious reaction from %s.	no distingues ninguna reaccion obvia de %s.
%s doesn't seem to notice %s reflection.	%s no parece notar el reflejo de %s.
%s ignores %s reflection.	%s ignora el reflejo de %s.
summon %s!	¡invoca a %s!
%s shattered!	¡%s hecho pedazos!
%s an unsettling shrill sound...	%s un sonido agudo e inquietante...
snuff the %s.	apaga el %s.
This %s has no %s.	Este %s no tiene %s.
To attach candles, apply them instead of the %s.	Para sujetar velas, aplicalas en vez del %s.
%s only %d %s in %s.	%s solo %d %s en %s.
%s lit.  %s dimly.	%s encendido.  %s tenuemente.
%s a strange warmth!	¡%s un calor extrano!
%s with a strange light!	¡%s con una luz extrana!
attach %ld%s %s to %s.	sujetar %ld%s %s a %s.
%s out.	%s fuera.
%s now has seven%s candles attached.	%s ahora tiene siete%s velas sujetas.
%s%scandle%s flame%s extinguished.	llama%s de vela%s %s%s extinguida.
%s %s out!	¡%s %s fuera!
%s %s %s	%s %s %s
That's in addition to the cost of %s %s, of course.	Eso ademas del coste de %s %s, por supuesto.
%s%s is now off.	%s%s esta apagado.
snuff out %s.	apaga %s.
This %s has no oil.	Este %s no tiene aceite.
%s for a moment, then %s.	%s por un momento, luego %s.
%s%s is now on.	%s%s esta encendido.
%s flame%s %s%s	llama%s de %s %s%s
snuff the lit potion.	apaga la pocion encendida.
light %spotion.%s	enciende pocion.%s %s
That's in addition to the cost of the potion, of course.	Eso ademas del coste de la pocion, por supuesto.
%s smoke.	%s humo.
Rubbing the electric lamp is not particularly rewarding.	Frotar la lampara electrica no es especialmente gratificante.
bounce around a little.	rebota un poco.
swish around a little.	se agita un poco.
This calls for swimming, not jumping!	¡Esto requiere nadar, no saltar!
pull free from %s.	se suelta de %s.
writhe a little in the grasp of %s!	¡se retuerce un poco en la presa de %s!
flail around a little.	se debate un poco.
lack the strength to jump!	¡te falta fuerza para saltar!
%s isn't capable of jumping in place.	%s no es capaz de saltar en el sitio.
rip yourself free of the bear trap!  Ouch!	¡te arrancas de la trampa para osos!  ¡Ay!
leap from the pit!	¡salta del foso!
tear the web apart as you pull yourself free!	¡rompes la telarana al liberarte!
pull yourself above the %s!	¡te izas por encima del %s!
strain your %s, but you're still %s.	tensas tu %s, pero sigues %s.
jump up and %s back down.	saltas arriba y %s de vuelta abajo.
seem to be out of tins.	parece que no quedan latas.
tin %s without wearing gloves.	enlatar %s sin llevar guantes.
Tinning %s without wearing gloves is a fatal mistake...	Enlatar %s sin llevar guantes es un error fatal...
Tinning failed.	Enlatado fallido.
suddenly feel %s.	de repente te sientes %s.
use_unicorn_horn: bad trouble? (%d)	use_unicorn_horn: ¿problema extrano? (%d)
null figurine in fig_transform()	figura nula en fig_transform()
%s %s out of your pack%s!	¡%s %s fuera de tu mochila%s!
%s %s out of %s%s!	¡%s %s fuera de %s%s!
figurine came to life where? (%d)	¿donde cobro vida la figurilla? (%d)
%s and it %stransforms.	%s y %stransforma.
cover %s with a thick layer of grease.	cubre %s con una gruesa capa de grasa.
Some of the grease gets all over your %s.	Parte de la grasa acaba por todo tu %s.
coat your %s with grease.	unta tu %s con grasa.
%s empty.	%s vacio.
%s to be empty.	%s estar vacio.
Oh, wow, look at the pretty shards.	Oh, mira que bonitos fragmentos.
%s a little more polished now.	%s algo mas pulido ahora.
%s a little wetter now.	%s algo mas humedo ahora.
make %s%sscratch marks on the %s.	hace marcas%s%s de aranazo en el %s.
%s streaks on the %s.	%s rayas en el %s.
resume setting %s%s.	reanuda el ajuste de %s%s.
flick a bug off of the %s.	espanta un bicho del %s.
cause a small splash.	provoca un pequeno chapoteo.
wrap your bullwhip around %s on the %s.	envuelves tu latigo alrededor de %s en el %s.
wrap your bullwhip around %s.	envuelves tu latigo alrededor de %s.
yank yourself out of the pit!	¡sales de un tiron del foso!
%s welded to %s %s%c	%s soldado a %s %s%c
yank %s to the %s!	¡tira de %s hacia el %s!
Snatching %s is a fatal mistake.	Arrebatar %s es un error fatal.
yank %s from %s %s!	¡tira de %s desde %s %s!
flick your bullwhip towards %s.	lanza un latigazo hacia %s.
immerse your %s in %s%s.	sumerge tu %s en %s%s.
There's %ssticky goop all over your %s.	Tienes %sgoop pegajoso por todo tu %s.
smear royal jelly all over %s.	embadurnas jalea real por todo %s.
snag an object from the %s!	¡enganchas un objeto del %s!
Raising %s high above your %s, you %s it in two!	¡Levantando %s bien alto sobre tu %s, lo %s en dos!
flip through the pages of %s.	hojeas las paginas de %s.
This spellbook %s.	Este libro de hechizos %s.
enjoy the animated initials.	disfrutas de las iniciales animadas.
The%s ink in this spellbook is %s.	La tinta %s de este libro de hechizos es %s.
flip %s.	lanza %s.
%s %s	%s %s
This %s is too hard to %s.	Este %s es demasiado duro para %s.
fumble and drop %s.	tropiezas y sueltas %s.
%s and %s %s!	¡%s y %s %s!
Ouch!  %s and %s you!	¡Ay!  ¡%s y %s te!
Bang!  You hit with the broad side of %s!	¡Pum!  ¡Golpeas con el lado plano de %s!
hit yourself in the %s.	golpearte en el %s.
destroy the bear trap with %s.	destruye la trampa para osos con %s.
destroy %s with %s.	destruye %s con %s.
This %s seems too hard to %s.	Este %s parece demasiado duro para %s.
hit the %s with all your might.	golpea el %s con todas tus fuerzas.
digactualhole: can't dig %s on this level.	digactualhole: no se puede cavar %s en este nivel.
dig an adjacent %s.	cava un %s adyacente.
dig %s %s the %s.	cava %s %s el %s.
%s digs %s %s the %s.	%s cava %s %s el %s.
%s appears in the %s.	%s aparece en el %s.
%s %s over the pit.	%s %s sobre el foso.
Insane liquid_flow(%d,%d,%s,%s).	liquid_flow(%d,%d,%s,%s) insensato.
%s entangled in the web.	%s enredado en la telarana.
clear some debris from between the pits.	limpia escombros entre los fosos.
swing %s, but the rubble has no place to go.	balanceas %s, pero los escombros no tienen adonde ir.
swing %s through thin air.	balanceas %s en el aire.
start %s.	empieza a %s.
%s merely scratches the %s.	%s solo rasguña el %s.
start %s downward.	empieza a %s hacia abajo.
continue %s downward.	continua %s hacia abajo.
Hey, stop damaging that %s!	¡Eh, deja de danar ese %s!
mdig_tunnel:  %s at (%d,%d) is undiggable	mdig_tunnel:  %s en (%d,%d) no se puede cavar
pierce %s %s wall!	¡perfora la pared %s %s!
loosen a rock from the %s.	afloja una roca del %s.
owe %s %ld %s for burying merchandise.	debes %s %ld %s por enterrar mercancia.
%s up through the %s.	%s arriba a traves de %s.
%d object%s buried.	%d objeto%s enterrado.
Automatic description %sis %s.	La descripcion automatica %ses %s.
%s a menu to show possible targets%s.	%s un menu para mostrar objetivos posibles%s.
%skipping over similar terrain when fastmoving the cursor.	%ssaltando terreno similar al mover rapido el cursor.
notice some gold between your %s.	notas algo de oro entre tu %s.
sense a lack of %s nearby.	sientes falta de %s cerca.
%s %s nearby.	%s %s cerca.
object_detect:  illegal class %d	object_detect:  clase ilegal %d
detect the %s of %s.	detecta el %s de %s.
%s too much to comprehend!	¡%s demasiado para comprender!
%s you!	¡%s te!
%s your vision!	¡%s tu vision!
%s your vision.	%s tu vision.
%s your mind!	¡%s tu mente!
grok some groovy globs of incandescent lava.	capta unas ondas de lava incandescente.
goldfish swimming above fluorescent rocks.	peces de colores nadando sobre rocas fluorescentes.
tiny snowflakes spinning around a miniature farmhouse.	diminutos copos de nieve girando alrededor de una pequena granja.
peer into %s...	miras dentro de %s...
%s, %s.	%s, %s.
reveal %s!	¡revela %s!
detect %s!	¡detecta %s!
%s unfolds!	¡%s se despliega!
correct_branch_type: unknown branch type	correct_branch_type: tipo de rama desconocido
flags[%i] is not a string	flags[%i] no es una cadena
flags is not an array or string	flags no es un array ni cadena
builds_up: can't find branch for dungeon %d	builds_up: no se encuentra rama para dungeon %d
sense something below your %s.	sientes algo bajo tu %s.
No boundary for Wizard's Tower?	¿Sin limite para la Torre del Mago?
Can't note branch for unseen level (%d, %d)	No se puede anotar rama para nivel no visto (%d, %d)
com_pager: nhl_init() failed	com_pager: nhl_init() fallo
com_pager: %s not found.	com_pager: %s no encontrado.
com_pager: questtext in %s is not a lua table	com_pager: questtext en %s no es una tabla lua
com_pager: questtext[%s] in %s is not a lua table	com_pager: questtext[%s] en %s no es una tabla lua
com_pager: questtext[%s][%s] in %s is not a lua table	com_pager: questtext[%s][%s] en %s no es una tabla lua
com_pager: questtext[%s][%s] and [][%s] in %s are not lua tables	com_pager: questtext[%s][%s] y [][%s] en %s no son tablas lua
com_pager: questtext[%s][%s] in %s is not an array of strings	com_pager: questtext[%s][%s] en %s no es un array de cadenas
materialize in %s location!	¡materializa en %s ubicacion!
%s onto the teleportation trap.	%s sobre la trampa de teletransporte.
%s in agony as your body begins to warp...	%s en agonia cuando tu cuerpo empieza a deformarse...
Thou art early, but we'll admit thee.	Llegas temprano, pero te admitiremos.
(In fact, you're on Cloud 9!)	¡(De hecho, estas en la nube 9!)
plummet a few thousand feet to your death.	caes varios miles de pies hasta tu muerte.
%s a level teleport trap!	¡%s una trampa de teletransporte de nivel!
and %s teleport together.	y %s teletransporta juntos.
%s %s%s%s!	¡%s %s%s%s!
rloc(): couldn't relocate monster	rloc(): no se pudo reubicar al monstruo
Teleport %s @ <%d,%d> where?	Teletransportar %s @ <%d,%d> ¿adonde?
mlevel_tele_trap: unexpected trap type (%d)	mlevel_tele_trap: tipo de trampa inesperado (%d)
%s resists your magic!	¡%s resiste tu magia!
%s must be wielded before it can be thrown.	%s debe ser empunado antes de poder lanzarse.
%s %d %s.	%s %d %s.
stop %s after the %d%s %s.	para %s despues del %dº %s.
crash into some iron bars.  Ouch!	¡chocas contra unos barrotes de hierro.  Ay!
bump into a %s.  Ouch!	¡chocas con un %s.  Ay!
%sget forcefully wedged into a crevice.	%squeda encajado a la fuerza en una grieta.
find %s by bumping into %s.	encuentras %s al chocar contra %s.
bump into %s.	choca contra %s.
%s bumps into %s.	%s choca contra %s.
%s bumps into you.	%s choca contra ti.
%s in the opposite direction.	%s en direccion opuesta.
%s doesn't budge!	¡%s no se mueve!
%s hits the %s.	%s golpea el %s.
%s %s the %s, then falls back on top of your %s.	%s %s el %s, luego cae encima de tu %s.
Unfortunately, you are wearing %s.	Desafortunadamente, llevas %s.
%s as you throw it!	¡%s al lanzarlo!
%s the %s and returns to your hand!	¡%s el %s y vuelve a tu mano!
%s lands %s your %s.	%s aterriza %s tu %s.
%s your %s!	¡%s tu %s!
%s to return!	¡%s de volver!
%s snatches up %s.	%s arrebata %s.
%s catches and drops %s.	%s atrapa y suelta %s.
%s part in this is finished.	%s parte en esto ha terminado.
%s %s %s back to you.	%s %s %s de vuelta a ti.
%s into %s%s.	%s en %s%s.
smell a peculiar odor...	hueles un olor peculiar...
%s shatter%s%s!	¡%s se hace pedazos%s%s!
Fortunately, you are wearing %s!	¡Afortunadamente, llevas %s!
%s%s are noisy.	%s%s son ruidosos.
Suddenly you can%s yourself.	De repente puedes%s a ti mismo.
%s very tightly.	%s muy fuerte.
Suddenly you can %s.	De repente puedes %s.
%s for a moment.	%s por un momento.
%s %s in your bare %s.	%s %s en tu %s desnudo.
speed up%s.	acelera%s.
%s %s to shine %s!	¡%s %s para brillar %s!
%s shining.	%s brillando.
Blindf_off without eyewear?	¿Blindf_off sin proteccion ocular?
removing strange accessory: %s	quitando accesorio extrano: %s
Despite your slippery %s, you can't.	A pesar de tu %s resbaladizo, no puedes.
Taking off unknown armor (%d: %d), delay %d	Quitando armadura desconocida (%d: %d), retraso %d
Taking off unknown armor (%d: %d), no delay	Quitando armadura desconocida (%d: %d), sin retraso
putting on unexpected type of accessory: %s	poniendo tipo inesperado de accesorio: %s
%s %s%s %s%s from your %s%s.	%s %s%s %s%s de tu %s%s.
stuck_ring: neither left nor right?	stuck_ring: ¿ni izquierda ni derecha?
%s %s are too slippery to take off.	%s %s son demasiado resbaladizos para quitar.
select_off: %s???	select_off: %s???
%sno longer %s.	%sya no %s.
do_takeoff: taking off %lx	do_takeoff: quitando %lx
finish %s.	termina %s.
take_off: taking off %lx	take_off: quitando %lx
finish %s %s.	termina %s %s.
unique creature '%d: %s' genocided?	¿criatura unica '%d: %s' genocidada?
Status of %s (%s, %s):  Level %d  HP %d(%d)  AC %d%s.	Estado de %s (%s, %s):  Nivel %d  HP %d(%d)  AC %d%s.
Status of %s (%s):  Level %d  HP %d(%d)  AC %d%s.	Estado de %s (%s):  Nivel %d  HP %d(%d)  AC %d%s.
fix_curse_trouble: nothing to uncurse.	fix_curse_trouble: nada que quitar maldicion.
fix_worst_trouble: couldn't cure hands.	fix_worst_trouble: no se pudieron curar las manos.
%s fries to a crisp!	¡%s se frie hasta quedar crujiente!
%s disintegrates into a pile of dust!	¡%s se desintegra en un monton de polvo!
bask in its %s glow for a minute...	se regodea en su resplandor %s por un minuto...
Thou %s, %s.	Tu %s, %s.
%s glow surrounds you.	un resplandor %s te rodea.
Thou durst %s me?	¿Te atreves a %sme?
Then die, %s!	¡Entonces muere, %s!
%s %s into %s %s.	%s %s en %s %s.
%s %s %s your %s!	¡%s %s %s tu %s!
I crown thee...  The Hand of Elbereth!	Te corono...  ¡La Mano de Elbereth!
Thou shalt be my Envoy of Balance!	¡Seras mi Enviado del Equilibrio!
Thou art chosen to %s for My Glory!	¡Has sido elegido para %s por Mi Gloria!
Divine knowledge of %s fills your mind!  Spell '%c'.	¡El conocimiento divino de %s llena tu mente!  Hechizo '%c'.
%s with %s aura%s.	%s con aura %s%s.
%s as good as new!	¡%s como nuevo!
It sounds like:  "%s".	Suena como:  "%s".
%s potion%s on the altar glow%s %s for a moment.	la pocion de %s en el altar brilla %s por un momento.
Suddenly, you realize that %s has noticed you...	De repente, te das cuenta de que %s te ha notado...
offer the Amulet of Yendor to %s...	ofreces el Amuleto de Yendor a %s...
%s shrugs and retains dominion over %s,	%s se encoge de hombros y retiene el dominio sobre %s,
then mercilessly snuffs out your life.	luego acaba mercilessmente con tu vida.
%s snarls and tries again...	%s grune y vuelve a intentarlo...
%s accepts your gift, and gains dominion over %s...	%s acepta tu regalo y gana dominio sobre %s...
Fortunately, %s permits you to live...	Afortunadamente, %s te permite vivir...
ascend to the status of Demigod%s...	asciende al estatus de Semidios%s...
realize you have made a %s.	te das cuenta de que has cometido un %s.
sense a conflict between %s and %s.	sientes un conflicto entre %s y %s.
Unluckily, you feel the power of %s decrease.	Desafortunadamente, sientes que el poder de %s disminuye.
Such an action is an insult to %s!	¡Tal accion es un insulto a %s!
%s seems %s.	%s parece %s.
realize that the gods are not like you and I.	te das cuenta de que los dioses no son como tu y yo.
Overall, there is a smell of fried onions.	En general, hay olor a cebollas fritas.
think %s brushed your %s.	piensas que %s rozo tu %s.
see crabgrass at your %s.  A funny thing in a dungeon.	ves grama en tu %s.  Cosa extrana en una mazmorra.
%s diabolical laughter all around you...	¡%s risas diabolicas a tu alrededor!...
Unfortunately, your voice falters.	Desafortunadamente, tu voz falla.
For some reason, %s seems to ignore you.	Por algun motivo, %s parece ignorarte.
Since you are in Gehennom, %s %s help you.	Como estas en Gehennom, %s %s ayudarte.
Calling upon %s, you chant an arcane formula.	Invocando a %s, cantas una formula arcana.
rn2 broken in halu_gname?!?	rn2 roto en halu_gname?!?
No random god name?	¿Sin nombre aleatorio de dios?
%s %s%s:	%s %s%s:
%s %s, welcome to NetHack!  You are a%s.	%s %s, ¡bienvenido a NetHack!  Eres un%s.
%s gets %s!	¡%s recibe %s!
%s gets slightly %s!	¡%s queda ligeramente %s!
explode: wand has bad zap type (%d).	explode: vara tiene tipo de zap erroneo (%d).
%s resists the %s!	¡%s resiste el %s!
scattered object <%d,%d> not at scatter site <%d,%d>	objeto disperso <%d,%d> no en el sitio de dispersion <%d,%d>
adtyp_to_expltype: bad explosion type %d	adtyp_to_expltype: tipo de explosion erroneo %d
unknown type for mon_explode %d	tipo desconocido para mon_explode %d
were no symbol sets found in "%s".	no se encontraron conjuntos de simbolos en "%s".
So thou thought thou couldst %s me, fool.	Asi que pensaste que podias %sme, tonto.
%s casts aspersions on your ancestry.	%s lanza calumnias sobre tu ascendencia.
spellcasting monster found you and doesn't know it?	¿monstruo lanzando hechizos te encontro y no lo sabe?
%s casting non-hand-to-hand version of hand-to-hand spell %d?	¿%s lanzando version no cuerpo a cuerpo del hechizo cuerpo a cuerpo %d?
%s %s a spot near you!	¡%s %s un punto cerca de ti!
%s %s your displaced image!	¡%s %s tu imagen desplazada!
no reason for monster to cast disappear spell?	¿sin razon para que el monstruo lance hechizo de desaparecer?
someone summoning something, and %s %s.	alguien invocando algo, y %s %s.
Scales cover your %s!	¡Escamas cubren tu %s!
no reason for monster to cast blindness spell?	¿sin razon para que el monstruo lance hechizo de ceguera?
monster cast spell (%d) with negative dmg (%d)?	¿monstruo lanzo hechizo (%d) con dmg negativo (%d)?
cast directed wizard spell (%d) with dmg=0?	¿lanzar hechizo dirigido de mago (%d) con dmg=0?
mcastu: invalid magic spell (%d)	mcastu: hechizo magico invalido (%d)
found_artifact: invalid artifact index! (%d)	found_artifact: indice de artefacto invalido! (%d)
found_artifact: artifact doesn't exist yet? (%d)	found_artifact: ¿el artefacto no existe aun? (%d)
%s your grasp!	¡%s tu agarre!
%s beyond your control!	¡%s fuera de tu control!
release %s!	¡suelta %s!
%s %s %s%c	%s %s %s%c
slice %s wide open!	¡abre a %s en canal!
slice deeply into %s!	¡corta profundamente en %s!
%s cuts deeply into %s!	¡%s corta profundamente en %s!
%s cuts %s in half!	¡%s corta %s por la mitad!
%s cuts deeply into you!	¡%s te corta profundamente!
%s cuts you in half!	¡%s te corta por la mitad!
%s slices through %s %s.	%s corta a traves de %s %s.
%s slices through your %s.	%s corta a traves de tu %s.
%s draws the %s from %s!	¡%s extrae el %s de %s!
%s drains your %s!	¡%s drena tu %s!
%s %s %s in a cloud of brimstone!	¡%s %s %s en una nube de azufre!
%s %s slightly.	%s %s ligeramente.
%s stops %s.	%s para %s.
%s to the %s.	%s al %s.
give up your attempt at %s.	abandonas tu intento de %s.
succeed in disarming the trap.  The %s is still %slocked.	logras desactivar la trampa.  El %s sigue %scerrado.
succeed in %s.	logras %s.
owe %ld %s for objects destroyed.	debes %ld %s por objetos destruidos.
give up your attempt to force the lock.	abandonas tu intento de forzar la cerradura.
%sour %s broke!	¡nuestro %s se rompio!
resume your attempt at %s.	reanudas tu intento de %s.
picking lock with object %d?	¿forzar cerradura con objeto %d?
%s no lock on the drawbridge.	%s sin cerradura en el puente levadizo.
%s no door there.	%s no hay puerta ahi.
resume your attempt to force the lock.	reanudas tu intento de forzar la cerradura.
force %s into a crack and pry.	mete %s en una grieta y hace palanca.
%s like something lootable over there.	%s que hay algo saqueable por alli.
%s blocks the way!	¡%s bloquea el camino!
%s's in the way.	%s esta en medio.
%s springs up in the older, more primitive doorway.	%s aparece en la entrada mas antigua y primitiva.
%s springs up in the doorway, but %s.	%s aparece en la entrada, pero %s.
%s %s shatter!	¡%s %s se hace pedazos!
%s payment in money2mon!	¡%s pago en money2mon!
Paying without %s gold?	¿Pagar sin %s oro?
%s payment in money2u!	¡%s pago en money2u!
%s paying without %s gold?	¿%s pagar sin %s oro?
%s!  Please pay before leaving%s	¡%s!  Por favor paga antes de irte%s
stole %ld %s worth of merchandise.	robo mercancia por valor de %ld %s.
%s stands firm as if %s knows you are there.	%s se mantiene firme como si %s supiera que estas ahi.
So, %s, you dare return to %s %s?!	Asi que, %s, ¡te atreves a volver a %s %s?!
%s seems %s over your return to %s %s!	¡%s parece %s por tu regreso a %s %s!
%s, %s!  Welcome%s to %s %s!	¡%s, %s!  Bienvenido%s a %s %s!
enter %s %s%s!	¡entra en %s %s%s!
%s %s to let you in with your %s%s.	%s %s dejarte entrar con tu %s%s.
%s %s to let you in while you're riding %s.	%s %s dejarte entrar mientras montas a %s.
You sneaky %s!  Get out of here with that pick!	¡Sneaky %s!  ¡Sal de aqui con ese pico!
%s %s your pick!	¡%s %s tu pico!
same_price: object wasn't on any bill!	same_price: ¡el objeto no estaba en ninguna cuenta!
owe %s %ld %s.	debes %s %ld %s.
%s? (rmno=%d, rtype=%d, mnum=%d, "%s")	%s? (rmno=%d, rtype=%d, mnum=%d, "%s")
untrustworthy null shkp; level_status.shkready is FALSE (%d, %d, %d, &d)	shkp nulo no fiable; level_status.shkready es FALSE (%d, %d, %d, &d)
onbill: paid obj on bill?	onbill: ¿obj pagado en cuenta?
onbill: unpaid obj %s?	onbill: ¿obj no pagado %s?
obfree: not on bill, %s = (%d,%d,%ld,%d) (%d,%d,%ld,%d)?	obfree: no en cuenta, %s = (%d,%d,%ld,%d) (%d,%d,%ld,%d)?
obfree: deleting worn obj (%d: %ld)	obfree: borrando obj llevado (%d: %ld)
%s returns to %s shop.	%s vuelve a la tienda de %s.
Can't find shop bill entry for #%d	No se encuentra la entrada de cuenta de tienda para #%d
appears to be no shopkeeper here to receive your payment.	parece no haber tendero aqui para recibir tu pago.
%shave no gold.	%stienes no oro.
give %s the %ld gold piece%s %s asked for.	dar a %s la%s %ld pieza%s de oro %s pedio.
give %s all your%s gold.	dar a %s todo tu%s oro.
Unfortunately, %s doesn't look satisfied.	Desafortunadamente, %s no parece satisfecho.
%s is after blood, not gold!	¡%s quiere sangre, no oro!
But since %s shop has been robbed recently,	Pero como la tienda de %s ha sido robada recientemente,
you %scompensate %s for %s losses.	debes %scompensar a %s por sus perdidas.
%s is after your hide, not your gold!	¡%s quiere tu pellejo, no tu oro!
try to appease %s by giving %s 1000 gold pieces.	intenta apaciguar a %s dandome 1000 piezas de oro.
dopay: not to shopkeeper?	dopay: ¿no a tendero?
But you don't%s have enough gold%s.	Pero no tienes%s suficiente oro%s.
pay that debt.	paga esa deuda.
That debt is partially offset by your credit.	Esa deuda se compensa parcialmente con tu credito.
pay the remainder.	paga el resto.
Thank you for shopping in %s %s%s	Gracias por comprar en %s %s%s
%s nods%s at you for shopping in %s %s%s	%s asiente%s por comprar en %s %s%s
%shave no gold or credit%s.	%stienes no oro ni credito%s.
Maybe you have some gold stashed away?	Quiza tengas algo de oro escondido?
You need to remove any unpaid items from that %s and buy them separately.	Debes quitar los objetos no pagados de ese %s y comprarlos por separado.
Paid object on bill??	¿Objeto pagado en cuenta??
Can't find contained item on shop bill (#%d).	No se encuentra el objeto contenido en la cuenta de tienda (#%d).
Buying %s contents: item #%u disappeared from bill.	Comprando contenido de %s: item #%u desaparecio de la cuenta.
Buying %s contents failed unexpectedly (#%u %d).	Comprar contenido de %s fallo inesperadamente (#%u %d).
%s for the other %s before buying %s.	%s para el otro %s antes de comprar %s.
%s %s%s your bill for the other %s first.	%s %s%s tu cuenta para el otro %s primero.
%shave no gold or credit left.	%stienes no oro ni credito.
don't%s have gold%s enough to pay for %s.	no tienes%s suficiente oro%s para pagar %s.
